Abundance,Density (ind/m2),Brooders,Spawners,Country,Locality,Site,Transects,Quadrats,subquads
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c1,s1
2,32,32,0,Venezuela,Mochima,Punta Garrapata,t1,c1,s2
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c1,s3
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c1,s4
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c2,s1
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c2,s2
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c2,s3
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c2,s4
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c3,s1
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c3,s2
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c3,s3
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c3,s4
3,48,16,32,Venezuela,Mochima,Punta Garrapata,t1,c4,s1
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c4,s2
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c4,s3
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c4,s4
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c5,s1
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c5,s2
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c5,s3
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c5,s4
1,16,16,0,Venezuela,Mochima,Punta Garrapata,t1,c6,s1
1,16,0,0,Venezuela,Mochima,Punta Garrapata,t1,c6,s2
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c6,s3
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c6,s4
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c7,s1
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c7,s2
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c7,s3
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c7,s4
0,0,0,0,Venezuela,Mochima,Punta Garrapata,t1,c8,s1
4,64,0,64,Venezuela,Mochima,Punta Garrapata,t1,c8,s2
